Charles Spurgeon,"It is not how much we have, but how much we enjoy, that makes happiness."
Saint Augustine,"Patience is the companion of wisdom."
John Owen,"Do you mortify; do you make it your daily work; be always at it whilst you live; cease not a day from this work; be killing sin or it will be killing you."
